,acc,arc,dataset,f1,fold,prec,rec,thresh
0,0.6313131313131313,cnn_blstm,political_data,0.6945606694560669,0,0.5928571428571429,0.8383838383838383,0.4
0,0.6767676767676768,cnn_blstm,political_data,0.7192982456140351,0,0.6356589147286822,0.8282828282828283,0.45
0,0.6666666666666666,cnn_blstm,political_data,0.6857142857142857,0,0.6486486486486487,0.7272727272727273,0.5
0,0.6464646464646465,cnn_blstm,political_data,0.631578947368421,0,0.6593406593406593,0.6060606060606061,0.55
0,0.6212121212121212,cnn_blstm,political_data,0.5341614906832298,0,0.6935483870967742,0.43434343434343436,0.6
0,0.5404040404040404,cnn_blstm,political_data,0.3157894736842105,0,0.6176470588235294,0.21212121212121213,0.65
0,0.5,cnn_blstm,political_data,0.0,0,0.0,0.0,0.7
0,0.6565656565656566,cnn_blstm,political_data,0.7258064516129032,1,0.6040268456375839,0.9090909090909091,0.4
0,0.6666666666666666,cnn_blstm,political_data,0.7250000000000001,1,0.6170212765957447,0.8787878787878788,0.45
0,0.7222222222222222,cnn_blstm,political_data,0.7533632286995515,1,0.6774193548387096,0.8484848484848485,0.5
0,0.7222222222222222,cnn_blstm,political_data,0.7368421052631577,1,0.7,0.7777777777777778,0.55
0,0.6666666666666666,cnn_blstm,political_data,0.6333333333333334,1,0.7037037037037037,0.5757575757575758,0.6
0,0.6161616161616161,cnn_blstm,political_data,0.44117647058823534,1,0.8108108108108109,0.30303030303030304,0.65
0,0.5,cnn_blstm,political_data,0.0,1,0.0,0.0,0.7
0,0.5555555555555556,cnn_blstm,political_data,0.6901408450704225,2,0.5297297297297298,0.98989898989899,0.4
0,0.6313131313131313,cnn_blstm,political_data,0.7203065134099617,2,0.5802469135802469,0.9494949494949495,0.45
0,0.6818181818181818,cnn_blstm,political_data,0.7123287671232875,2,0.65,0.7878787878787878,0.5
0,0.6616161616161617,cnn_blstm,political_data,0.5314685314685315,2,0.8636363636363636,0.3838383838383838,0.55
0,0.5,cnn_blstm,political_data,0.0,2,0.0,0.0,0.6
0,0.5,cnn_blstm,political_data,0.0,2,0.0,0.0,0.65
0,0.5,cnn_blstm,political_data,0.0,2,0.0,0.0,0.7
0,0.6262626262626263,multiple,political_data,0.6967213114754097,0,0.5862068965517241,0.8585858585858586,0.4
0,0.6414141414141414,multiple,political_data,0.6816143497757847,0,0.6129032258064516,0.7676767676767676,0.45
0,0.6464646464646465,multiple,political_data,0.65,0,0.6435643564356436,0.6565656565656566,0.5
0,0.6616161616161617,multiple,political_data,0.633879781420765,0,0.6904761904761905,0.5858585858585859,0.55
0,0.5606060606060606,multiple,political_data,0.37410071942446044,0,0.65,0.26262626262626265,0.6
0,0.5,multiple,political_data,0.0,0,0.0,0.0,0.65
0,0.5,multiple,political_data,0.0,0,0.0,0.0,0.7
0,0.6313131313131313,multiple,political_data,0.7091633466135457,1,0.5855263157894737,0.898989898989899,0.4
0,0.6717171717171717,multiple,political_data,0.7234042553191489,1,0.625,0.8585858585858586,0.45
0,0.7121212121212122,multiple,political_data,0.7397260273972603,1,0.675,0.8181818181818182,0.5
0,0.7525252525252525,multiple,political_data,0.7609756097560976,1,0.7358490566037735,0.7878787878787878,0.55
0,0.6919191919191919,multiple,political_data,0.6702702702702703,1,0.7209302325581395,0.6262626262626263,0.6
0,0.6565656565656566,multiple,political_data,0.5641025641025641,1,0.7719298245614035,0.4444444444444444,0.65
0,0.5909090909090909,multiple,political_data,0.352,1,0.8461538461538461,0.2222222222222222,0.7
0,0.696969696969697,multiple,political_data,0.7391304347826086,2,0.648854961832061,0.8585858585858586,0.4
0,0.6868686868686869,multiple,political_data,0.7256637168141592,2,0.6456692913385826,0.8282828282828283,0.45
0,0.6767676767676768,multiple,political_data,0.6893203883495145,2,0.6635514018691588,0.7171717171717171,0.5
0,0.696969696969697,multiple,political_data,0.6875,2,0.7096774193548387,0.6666666666666666,0.55
0,0.7070707070707071,multiple,political_data,0.6627906976744187,2,0.7808219178082192,0.5757575757575758,0.6
0,0.6818181818181818,multiple,political_data,0.5935483870967742,2,0.8214285714285714,0.46464646464646464,0.65
0,0.6666666666666666,multiple,political_data,0.5416666666666666,2,0.8666666666666667,0.3939393939393939,0.7
